,epsilon,mass,n_expected
435,5.62341325190341e-06,0.0648838775510204,6131.961688860763
436,6.30957344480184e-06,0.0648838775510204,6589.647102921587
437,7.079457843841272e-06,0.0648838775510204,6553.6977938152295
438,7.943282347242691e-06,0.0648838775510204,5975.3891865676305
439,8.912509381337314e-06,0.0648838775510204,5105.861547324805
440,9.999999999999836e-06,0.0648838775510204,4014.5556447696636
441,1.1220184543019445e-05,0.0648838775510204,2945.4209666254624
442,1.2589254117941456e-05,0.0648838775510204,1997.9363221667325
443,1.4125375446227294e-05,0.0648838775510204,1256.7977513976552
444,1.584893192461085e-05,0.0648838775510204,707.491435575346
445,1.77827941003889e-05,0.0648838775510204,368.90221261510186
446,1.995262314968842e-05,0.0648838775510204,185.35834889969692
447,2.2387211385682966e-05,0.0648838775510204,73.93499886241983
448,2.5118864315095307e-05,0.0648838775510204,33.81054906550852
449,2.8183829312643973e-05,0.0648838775510204,10.786360827296424
450,3.1622776601683145e-05,0.0648838775510204,3.0650872332460484
451,3.548133892335681e-05,0.0648838775510204,0.5327306172907793
452,3.981071705534888e-05,0.0648838775510204,0.14616871641423024
453,4.4668359215095345e-05,0.0648838775510204,0.008333099858669455
454,5.011872336272612e-05,0.0648838775510204,0.0007213919233902349
455,5.623413251903364e-05,0.0648838775510204,0.00016780189597063392
456,6.309573444801788e-05,0.0648838775510204,4.4472152472790544e-07
457,7.079457843841215e-05,0.0648838775510204,2.195972739494264e-10
458,7.943282347242627e-05,0.0648838775510204,7.371202308642046e-14
459,8.91250938133724e-05,0.0648838775510204,1.2145959388395976e-17
460,9.999999999999755e-05,0.0648838775510204,3.658733679594626e-21
461,0.00011220184543019355,0.0648838775510204,2.0232060247613638e-29
462,0.00012589254117941352,0.0648838775510204,6.005077326693878e-35
