# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
1.295e-03,1.187e-03,4.633e+03,5.478e+03,9.833e-04
1.168e-03,1.070e-03,5.137e+03,6.075e+03,6.579e-08
1.281e-02,1.170e-02,5.074e+02,5.982e+02,1.077e+03
1.155e-02,1.055e-02,5.627e+02,6.633e+02,9.241e+02
1.042e-02,9.515e-03,6.240e+02,7.357e+02,7.856e+02
9.393e-03,8.581e-03,6.920e+02,8.158e+02,6.612e+02
8.470e-03,7.737e-03,7.674e+02,9.047e+02,5.505e+02
7.638e-03,6.977e-03,8.510e+02,1.003e+03,4.531e+02
6.887e-03,6.291e-03,9.438e+02,1.113e+03,3.682e+02
6.210e-03,5.673e-03,1.047e+03,1.234e+03,2.949e+02
5.600e-03,5.115e-03,1.161e+03,1.368e+03,2.326e+02
5.050e-03,4.613e-03,1.287e+03,1.518e+03,1.804e+02
4.553e-03,4.159e-03,1.428e+03,1.683e+03,1.371e+02
4.106e-03,3.751e-03,1.583e+03,1.866e+03,1.015e+02
3.702e-03,3.382e-03,1.756e+03,2.070e+03,7.289e+01
3.338e-03,3.050e-03,1.947e+03,2.295e+03,5.064e+01
3.010e-03,2.750e-03,2.159e+03,2.546e+03,3.345e+01
2.715e-03,2.480e-03,2.395e+03,2.823e+03,2.013e+01
2.448e-03,2.236e-03,2.656e+03,3.131e+03,1.079e+01
2.207e-03,2.016e-03,2.945e+03,3.472e+03,5.266e+00
1.990e-03,1.818e-03,3.266e+03,3.850e+03,2.408e+00
1.795e-03,1.639e-03,3.622e+03,4.270e+03,9.582e-01
1.618e-03,1.478e-03,4.017e+03,4.735e+03,2.585e-01
1.459e-03,1.333e-03,4.454e+03,5.251e+03,2.339e-02
1.316e-03,1.202e-03,4.940e+03,5.824e+03,8.794e-05
1.187e-03,1.084e-03,5.478e+03,6.458e+03,1.572e-09
1.298e-02,1.183e-02,5.394e+02,6.341e+02,8.073e+02
1.170e-02,1.067e-02,5.982e+02,7.032e+02,6.887e+02
1.055e-02,9.617e-03,6.634e+02,7.798e+02,5.815e+02
9.515e-03,8.673e-03,7.357e+02,8.648e+02,4.860e+02
8.580e-03,7.820e-03,8.159e+02,9.591e+02,4.014e+02
7.737e-03,7.052e-03,9.047e+02,1.064e+03,3.277e+02
6.976e-03,6.358e-03,1.003e+03,1.180e+03,2.638e+02
6.291e-03,5.734e-03,1.113e+03,1.308e+03,2.092e+02
5.672e-03,5.170e-03,1.234e+03,1.451e+03,1.631e+02
5.115e-03,4.662e-03,1.368e+03,1.609e+03,1.248e+02
4.612e-03,4.204e-03,1.518e+03,1.784e+03,9.338e+01
4.159e-03,3.791e-03,1.683e+03,1.978e+03,6.781e+01
3.750e-03,3.418e-03,1.867e+03,2.194e+03,4.752e+01
3.382e-03,3.082e-03,2.070e+03,2.433e+03,3.207e+01
3.049e-03,2.779e-03,2.296e+03,2.699e+03,2.040e+01
2.750e-03,2.506e-03,2.546e+03,2.993e+03,1.152e+01
2.479e-03,2.260e-03,2.823e+03,3.319e+03,5.574e+00
2.236e-03,2.038e-03,3.131e+03,3.680e+03,2.397e+00
2.016e-03,1.837e-03,3.472e+03,4.082e+03,9.793e-01
1.818e-03,1.657e-03,3.850e+03,4.526e+03,3.435e-01
1.639e-03,1.494e-03,4.270e+03,5.020e+03,7.728e-02
1.478e-03,1.347e-03,4.735e+03,5.567e+03,4.335e-03
1.333e-03,1.215e-03,5.252e+03,6.174e+03,5.904e-06
