epsilon,mass,n_expected
3.511191734215127e-05,0.1006060606060606,2016.9743081280562
4.03701725859655e-05,0.1006060606060606,947.2873244111872
4.641588833612782e-05,0.1006060606060606,352.4964656513967
5.3366992312063123e-05,0.1006060606060606,96.17632260872995
6.135907273413175e-05,0.1006060606060606,17.30496427458227
7.054802310718646e-05,0.1006060606060606,1.7848983090101762
8.111308307896872e-05,0.1006060606060606,0.08795742647924554
9.326033468832199e-05,0.1006060606060606,0.001635033438684297
0.00010722672220103231,0.1006060606060606,8.424445224090095e-06
0.0001232846739442066,0.1006060606060606,8.018881031832156e-09
0.00014174741629268049,0.1006060606060606,8.231168218558277e-13
0.0001629750834620645,0.1006060606060606,4.45473927297311e-18
0.0001873817422860385,0.1006060606060606,4.920811569739134e-25
0.00021544346900318845,0.1006060606060606,3.1593763270049424e-34
0.0002477076355991711,0.1006060606060606,2.238590206948132e-46
0.0002848035868435802,0.1006060606060606,1.9448687405810513e-62
0.00032745491628777284,0.1006060606060606,1.1334836643367343e-83
0.00037649358067924675,0.1006060606060606,9.500140577230693e-112
0.00043287612810830614,0.1006060606060606,7.1109777320012565e-149
0.0004977023564332114,0.1006060606060606,5.740900063694e-198
0.0005722367659350221,0.1006060606060606,6.941726713753628e-263
0.0006579332246575682,0.1006060606060606,0.0
0.000756463327554629,0.1006060606060606,0.0
0.0008697490026177834,0.1006060606060606,0.0
0.001,0.1006060606060606,0.0
0.0011497569953977356,0.1006060606060606,0.0
0.0013219411484660286,0.1006060606060606,0.0
0.0015199110829529332,0.1006060606060606,0.0
0.001747528400007683,0.1006060606060606,0.0
0.002009233002565046,0.1006060606060606,0.0
0.002310129700083158,0.1006060606060606,0.0
0.0026560877829466894,0.1006060606060606,0.0
0.003053855508833419,0.1006060606060606,0.0
0.0035111917342151347,0.1006060606060606,0.0
0.004037017258596558,0.1006060606060606,0.0
0.004641588833612782,0.1006060606060606,0.0
0.005336699231206312,0.1006060606060606,0.0
0.006135907273413176,0.1006060606060606,0.0
0.007054802310718645,0.1006060606060606,0.0
0.008111308307896872,0.1006060606060606,0.0
0.0093260334688322,0.1006060606060606,0.0
0.010722672220103232,0.1006060606060606,0.0
0.012328467394420659,0.1006060606060606,0.0
0.014174741629268049,0.1006060606060606,0.0
0.016297508346206434,0.1006060606060606,0.0
0.01873817422860383,0.1006060606060606,0.0
